X,Y,fid,id,left,top,right,bottom,row_index,col_index,ELEV_1
184422.790326637,5031261.41821422,181,181,184172.790326637,5031511.41821422,184672.790326637,5031011.41821422,15,5,269.592681884766
184422.790326637,5030761.41821422,182,182,184172.790326637,5031011.41821422,184672.790326637,5030511.41821422,16,5,266.343841552734
184422.790326637,5030261.41821422,183,183,184172.790326637,5030511.41821422,184672.790326637,5030011.41821422,17,5,263.680145263672
184422.790326637,5029761.41821422,184,184,184172.790326637,5030011.41821422,184672.790326637,5029511.41821422,18,5,266.255462646484
184422.790326637,5029261.41821422,185,185,184172.790326637,5029511.41821422,184672.790326637,5029011.41821422,19,5,281.987274169922
184422.790326637,5028761.41821422,186,186,184172.790326637,5029011.41821422,184672.790326637,5028511.41821422,20,5,261.787933349609
184422.790326637,5028261.41821422,187,187,184172.790326637,5028511.41821422,184672.790326637,5028011.41821422,21,5,250.718048095703
184422.790326637,5027761.41821422,188,188,184172.790326637,5028011.41821422,184672.790326637,5027511.41821422,22,5,239.148559570312
184422.790326637,5027261.41821422,189,189,184172.790326637,5027511.41821422,184672.790326637,5027011.41821422,23,5,240.852096557617
184422.790326637,5026761.41821422,190,190,184172.790326637,5027011.41821422,184672.790326637,5026511.41821422,24,5,243.437194824219
184422.790326637,5026261.41821422,191,191,184172.790326637,5026511.41821422,184672.790326637,5026011.41821422,25,5,230.448516845703
184422.790326637,5025761.41821422,192,192,184172.790326637,5026011.41821422,184672.790326637,5025511.41821422,26,5,225.703735351562
184422.790326637,5025261.41821422,193,193,184172.790326637,5025511.41821422,184672.790326637,5025011.41821422,27,5,217.682235717773
184422.790326637,5024761.41821422,194,194,184172.790326637,5025011.41821422,184672.790326637,5024511.41821422,28,5,225.127914428711
184422.790326637,5024261.41821422,195,195,184172.790326637,5024511.41821422,184672.790326637,5024011.41821422,29,5,215.45783996582
184422.790326637,5023761.41821422,196,196,184172.790326637,5024011.41821422,184672.790326637,5023511.41821422,30,5,205.132583618164
184422.790326637,5023261.41821422,197,197,184172.790326637,5023511.41821422,184672.790326637,5023011.41821422,31,5,201.210571289062
184422.790326637,5022761.41821422,198,198,184172.790326637,5023011.41821422,184672.790326637,5022511.41821422,32,5,193.759323120117
184922.790326637,5038761.41821422,199,199,184672.790326637,5039011.41821422,185172.790326637,5038511.41821422,0,6,270.834594726562
184922.790326637,5038261.41821422,200,200,184672.790326637,5038511.41821422,185172.790326637,5038011.41821422,1,6,280.871612548828
184922.790326637,5037761.41821422,201,201,184672.790326637,5038011.41821422,185172.790326637,5037511.41821422,2,6,280.71728515625
184922.790326637,5037261.41821422,202,202,184672.790326637,5037511.41821422,185172.790326637,5037011.41821422,3,6,278.002197265625
